id,titolo_breve,production_id,dcTitle,from,to,datetext,luogo_nome,luogo_id,edificio_nome,edificio_id,composizione_nome,composizione_id,fullpath
63557,Le femmine puntigliose,,Le femmine puntigliose,1979-02-03,1979-02-03,03/02/1979,Reggio Emilia,1911,Teatro Municipale,8713,,,/Recite/03-02-1979 Le femmine puntigliose (63557)
63558,Farfalle,,Farfalle,2022-04-21,2022-04-21,21/04/2022,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/21-04-2022 Farfalle (63558)
63559,Farfalle,,Farfalle,2022-04-22,2022-04-22,22/04/2022,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/22-04-2022 Farfalle (63559)
63560,Farfalle,,Farfalle,2022-04-23,2022-04-23,23/04/2022,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/23-04-2022 Farfalle (63560)
63561,Farfalle,,Farfalle,2022-04-24,2022-04-24,24/04/2022,Reggio Emilia,1911,Teatro Cavallerizza,8653,,,/Recite/24-04-2022 Farfalle (63561)
63562,Aufstieg und Fall der Stadt Mahagonny,,Aufstieg und Fall der Stadt Mahagonny,2022-05-13,2022-05-13,13/05/2022,Reggio Emilia,1911,Teatro Municipale Valli,8715,1928 - 1929 Aufstieg und Fall der Stadt Mahagonny,70290,/Recite/13-05-2022 Aufstieg und Fall der Stadt Mahagonny (63562)
63563,Aufstieg und Fall der Stadt Mahagonny,,Aufstieg und Fall der Stadt Mahagonny,2022-05-15,2022-05-15,15/05/2022,Reggio Emilia,1911,Teatro Municipale Valli,8715,1928 - 1929 Aufstieg und Fall der Stadt Mahagonny,70290,/Recite/15-05-2022 Aufstieg und Fall der Stadt Mahagonny (63563)
63564,Il Barone di Münchausen,,Il Barone di Münchausen,1979-01-29,1979-01-29,29/01/1979,Reggio Emilia,1911,Ridotto del Teatro Municipale,8976,,,/Recite/29-01-1979 Il Barone di Münchausen (63564)
63565,Il Barone di Münchausen,,Il Barone di Münchausen,1979-01-29,1979-01-29,29/01/1979,Reggio Emilia,1911,Ridotto del Teatro Municipale,8976,,,/Recite/29-01-1979 Il Barone di Münchausen (63565)
63566,Il Barone di Münchausen,,Il Barone di Münchausen,1979-01-30,1979-01-30,30/01/1979,Reggio Emilia,1911,Ridotto del Teatro Municipale,8976,,,/Recite/30-01-1979 Il Barone di Münchausen (63566)
63567,Il Barone di Münchausen,,Il Barone di Münchausen,1979-01-30,1979-01-30,30/01/1979,Reggio Emilia,1911,Ridotto del Teatro Municipale,8976,,,/Recite/30-01-1979 Il Barone di Münchausen (63567)
63568,Il Barone di Münchausen,,Il Barone di Münchausen,1979-01-31,1979-01-31,31/01/1979,Reggio Emilia,1911,Ridotto del Teatro Municipale,8976,,,/Recite/31-01-1979 Il Barone di Münchausen (63568)
63569,Il Barone di Münchausen,,Il Barone di Münchausen,1979-01-31,1979-01-31,31/01/1979,Reggio Emilia,1911,Ridotto del Teatro Municipale,8976,,,/Recite/31-01-1979 Il Barone di Münchausen (63569)
