id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
60914,Orchestra della Compagnia Balletto Alacritas,30921,interprete
60914,Coro della Compagnia Balletto Alacritas,30922,interprete
60915,Orchestra della Compagnia Balletto Alacritas,30921,interprete
60915,Coro della Compagnia Balletto Alacritas,30922,interprete
60916,Compagnia Corrado Abbati,29548,interprete
60917,Compagnia Corrado Abbati,29548,interprete
60918,Compagnia Corrado Abbati,29548,interprete
60919,Compagnia Corrado Abbati,29548,interprete
60920,Compagnia Corrado Abbati,29548,interprete
60921,Compagnia Corrado Abbati,29548,interprete
60922,Compagnia Corrado Abbati,29548,interprete
60923,Compagnia Corrado Abbati,29548,interprete
60927,Compagnia Corrado Abbati,29548,interprete
60928,Compagnia Corrado Abbati,29548,interprete
60929,Compagnia Corrado Abbati,29548,interprete
60930,Compagnia Corrado Abbati,29548,interprete
60935,International Dancers,30301,interprete
60936,International Dancers,30301,interprete
60937,International Dancers,30301,interprete
60938,Orchestra del Teatro Nazionale dell'Operetta di Budapest,30925,interprete
60938,Coro del Teatro Nazionale dell'Operetta di Budapest,30926,interprete
60938,Solisti del Teatro Nazionale dell'Operetta di Budapest,30927,interprete
60939,Orchestra 1813,30931,interprete
60940,Orchestra in gioco,30932,interprete
60941,Orchestra in gioco,30932,interprete
60942,Orchestra in gioco,30932,interprete
60943,Orchestra in gioco,30932,interprete
60944,Orchestra 1813,30931,interprete
60945,Orchestra 1813,30931,interprete
60946,Orchestra in gioco,30932,interprete
60947,Orchestra in gioco,30932,interprete
60948,Teatro Municipale Romolo Valli,29664,produzione
60949,Compagnia Italiana di Operette,30121,interprete
60950,Compagnia Italiana di Operette,30121,interprete
60951,Compagnia Italiana di Operette,30121,interprete
60966,Cappella della Pietà de' Turchini,30362,orchestra
60967,Cappella della Pietà de' Turchini,30362,orchestra
60975,Teatro Municipale Romolo Valli,29664,produzione
60984,Compagnia giovanile Junior Balletto di Toscana,19310,interprete
60991,Mahler Chamber Orchestra,29582,orchestra
60991,Arnold Schönberg Chor,29563,coro
60991,Coro de la Comunidad de Madrid,30950,coro
60992,Mahler Chamber Orchestra,29582,orchestra
60992,Arnold Schönberg Chor,29563,coro
60992,Coro de la Comunidad de Madrid,30950,coro
60994,Ballet de l'Opéra National du Rhin,30954,interprete
60995,Gruppo Strumentale Lombardo,34412,orchestra
60996,Gruppo Strumentale Lombardo,34412,orchestra
60997,Orchestra del Teatro Comunale di Bologna,29914,orchestra
60998,Orchestra del Teatro Comunale di Bologna,29914,orchestra
61003,Mercanti di Liquori,30955,interprete
61004,Mercanti di Liquori,30955,interprete
61005,Mercanti di Liquori,30955,interprete
61006,Aterballetto,29463,compagnia di balletto/danza
61010,I Legnanesi,30659,interprete
61011,I Legnanesi,30659,interprete
61012,Aterballetto,29463,compagnia di balletto/danza
61013,Aterballetto,29463,compagnia di balletto/danza
61016,Kibbutz Contemporary Dance Company,30964,interprete
61017,Batsheva Ensemble,30965,interprete
61018,Batsheva Ensemble,30965,interprete
61019,Batsheva Ensemble,30965,interprete
61020,Batsheva Ensemble,30965,interprete
61021,Batsheva Dance Company,14269,interprete
61022,Batsheva Dance Company,14269,interprete
61023,Emanuel Gat Dance,30966,interprete
61024,Batsheva Dance Company,14269,interprete
61025,Batsheva Dance Company,14269,interprete
61027,Teatro Municipale Romolo Valli,29664,produzione
61027,Let's Dance : Gruppo Ai-Kocan,30973,interprete
61028,Teatro Municipale Romolo Valli,29664,produzione
