id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
38501,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38502,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38503,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38504,"Cappella Neapolitana, Napoli",28359,Orchestra
38504,Pifarescha,28360,Complesso da camera
38504,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38504,"Coro del Teatro Regio, Torino",7196,Coro
38505,"Cappella Neapolitana, Napoli",28359,Orchestra
38505,Pifarescha,28360,Complesso da camera
38505,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38505,"Coro del Teatro Regio, Torino",7196,Coro
38506,"Cappella Neapolitana, Napoli",28359,Orchestra
38506,Pifarescha,28360,Complesso da camera
38506,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38506,"Coro del Teatro Regio, Torino",7196,Coro
38507,"Cappella Neapolitana, Napoli",28359,Orchestra
38507,Pifarescha,28360,Complesso da camera
38507,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38507,"Coro del Teatro Regio, Torino",7196,Coro
38508,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38509,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38510,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38511,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38511,"Conservatorio di Musica “A. Vivaldi”, Alessandria",21407,Orchestra
38511,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38512,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38512,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38512,"Conservatorio di Musica “A. Vivaldi”, Alessandria",21407,Orchestra
38513,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38513,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38513,"Conservatorio di Musica “A. Vivaldi”, Alessandria",21407,Orchestra
38514,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38514,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38514,"Conservatorio di Musica “A. Vivaldi”, Alessandria",21407,Orchestra
38515,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38515,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38515,"Conservatorio di Musica “A. Vivaldi”, Alessandria",21407,Orchestra
38516,"Orchestra del Teatro Regio, Torino",7197,Orchestra
